"Data Source","Indicadores del desarrollo mundial",
"Guinea-Bissau","GNB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea Ecuatorial","GNQ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grecia","GRC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.88","","","0.65","","0.72","","0.78","","1.14","","1.16","","1.23","","2.05","","2.06","","1.98","","1.54","","","","","",
"Granada","GRD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.54","","0.54","","0.73","","0.89","","1.28","","1.02","","1.4","","","","1.12","","","","","",
"Groenlandia","GRL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.39","","","0.41","","0.53","","0.48","","0.68","","0.78","","0.86","","0.95","","1.14","","1.01","","0.79","","","","","",
"Guam","GUM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","0.37","","0.31","","0.74","","","","0.84","","0.93","","1.08","","1.15","","0.9","","","","","",
"Ingreso alto","HIC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","0.76","","0.83","","1.135","","1.26","","1.27","","1.59","","1.83","","1.645","","1.225","","","","","",
"Hong Kong, Región Administrativa Especial","HKG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","","","","1.19","","","1.36","","1.46","","1.47","","1.54","","1.69","","1.95","","1.92","","2.16","","2.06","","1.86","","","","","",
"Honduras","HND","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","","0.35","","","0.5","","0.62","","0.63","","0.81","","0.89","","0.8","","1.04","","1.25","","1.2","","0.98","","","","","",
"Países pobres muy endeudados (PPME)","HPC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.69","","","0.6","","","0.59","","0.675","","0.66","","0.88","","1.06","","1.13","","1.2","","1.28","","1.29","","0.96","","","","","",
"Croacia","HRV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","0.67","","0.76","","0.89","","1.24","","1.34","","1.27","","1.59","","1.77","","1.66","","1.26","","","","","",
"Haití","HTI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","0.64","","0.54","","0.88","","","","1.16","","","","1.25","","1.16","","0.81","","","","","",
"Hungría","HUN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","","","0.72","","0.81","","0.94","","1.3","","1.3","","1.27","","1.67","","1.84","","1.58","","1.18","","","","","",
"Sólo BIRF","IBD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.42","","0.53","","0.49","","0.67","","0.825","","0.91","","1.095","","1.29","","1.17","","0.83","","","","","",
"BIRF y la AIF","IBT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.555","","0.53","","0.73","","0.89","","1.03","","1.12","","1.295","","1.24","","0.92","","","","","",
"total de la AIF","IDA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51","","0.58","","0.55","","0.8","","0.98","","1.115","","1.155","","1.32","","1.305","","0.95","","","","","",
"mezcla de la AIF","IDB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","0.535","","0.53","","0.8","","0.98","","1.175","","1.235","","1.37","","1.225","","1.02","","","","","",
"Indonesia","IDN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","","0.44","","","0.16","","0.17","","0.27","","0.27","","0.57","","0.5","","0.79","","0.47","","0.93","","0.63","","","","","",
"Sólo AIF","IDX","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","0.62","","0.57","","0.8","","0.98","","1.075","","1.15","","1.31","","1.33","","0.93","","","","","",
"Isla de Man","IMN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.48","","","0.56","","0.6","","0.66","","0.87","","1.01","","1.09","","1.15","","1.25","","1.1","","0.97","","","","","",
"No clasificado","INX","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","","","1.02","","0.72","","0.9","","1.29","","1.34","","1.56","","1.78","","2.02","","1.92","","1.37","","","","","",
"Irán, República Islámica del","IRN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","","0.05","","0.07","","0.09","","0.09","","0.1","","0.097","","0.33","","0.374","","0.399","","","","","",
"Iraq","IRQ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","","","0.43","","0.61","","","","","",
"Islandia","ISL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","1.05","","1.16","","1.64","","1.86","","1.15","","1.71","","1.99","","1.85","","1.69","","","","","",
"Israel","ISR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","","","0.86","","1.14","","0.9","","1.05","","1.47","","1.37","","1.85","","2.01","","1.88","","1.57","","","","","",
"Italia","ITA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","","","1.19","","0.97","","1.05","","1.53","","1.56","","1.57","","1.87","","2.28","","2.14","","1.61","","","","","",
"Jamaica","JAM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","0.62","","0.52","","0.63","","0.82","","0.74","","0.98","","1.2","","1.14","","1.11","","","","","",
"Jordania","JOR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.42","","0.45","","0.52","","0.61","","0.86","","0.61","","1.04","","1.44","","1.27","","1.1","","","","","",
"Japón","JPN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","","","1.02","","1.06","","0.91","","1.26","","1.09","","1.42","","1.6","","2","","1.38","","1.06","","","","","",
"Kazajstán","KAZ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","0.3","","0.36","","0.35","","0.52","","0.7","","0.83","","0.71","","1.01","","0.81","","0.42","","","","","",
"Kenya","KEN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.4","","","0.56","","","0.7","","0.71","","0.7","","0.92","","1.12","","1.2","","1.33","","1.37","","1.21","","0.95","","","","","",
"Kirguistán","KGZ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.44","","0.39","","0.48","","0.64","","0.8","","0.85","","0.89","","0.94","","0.56","","","","","",
"Camboya","KHM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.61","","0.63","","0.79","","1.01","","0.94","","1.15","","1.35","","1.34","","0.9","","","","","",
"Kiribati","KIR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saint Kitts y Nevis","KNA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Corea, República de","KOR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","","","0.79","","","0.93","","0.92","","1.09","","1.35","","1.65","","1.51","","1.52","","1.8","","1.55","","1.22","","","","","",
"Kuwait","KWT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","","0.21","","0.2","","0.24","","0.22","","0.24","","0.23","","0.23","","0.22","","0.35","","","","","",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.395","","","0.5","","0.62","","0.55","","0.72","","0.89","","0.87","","1.065","","1.28","","1.2","","0.98","","","","","",
"República Democrática Popular Lao","LAO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.41","","0.36","","0.54","","0.86","","0.92","","1.26","","1.33","","1.4","","0.93","","","","","",
"Líbano","LBN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","0.53","","0.65","","0.71","","0.74","","0.76","","1.13","","1.11","","0.96","","0.74","","","","","",
"Liberia","LBR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","0.79","","0.77","","0.98","","1.17","","0.91","","0.8","","","","","",
"Libia","LBY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","0.25","","0.1","","0.09","","0.12","","0.14","","0.17","","0.12","","","","0.11","","","","","",
"Santa Lucía","LCA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","",
"América Latina y el Caribe","LCN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.62","","0.545","","0.705","","0.915","","0.89","","1.065","","1.28","","1.2","","0.92","","","","","",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71","0.715","","","","","","0.57","","0.64","","0.605","","0.8","","1.01","","1.13","","1.18","","1.34","","1.34","","0.96","","","","","",
"Países de ingreso bajo","LIC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.715","","","0.625","","","0.61","","0.68","","0.58","","0.9","","1.11","","1.23","","1.3","","1.41","","1.385","","0.965","","","","","",
"Liechtenstein","LIE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","0.81","","0.89","","1.29","","1.27","","1.3","","1.66","","1.88","","1.74","","","","","","","",
"Sri Lanka","LKA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","","0.75","","","0.84","","0.66","","0.54","","0.72","","0.88","","1.43","","1.19","","1.29","","1.27","","0.88","","","","","",
"Países de ingreso mediano bajo","LMC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.53","","0.52","","0.685","","0.85","","0.93","","1.075","","1.25","","1.14","","0.905","","","","","",
"Ingreso mediano y bajo","LMY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.55","","0.54","","0.74","","0.89","","1.03","","1.11","","1.29","","1.225","","0.92","","","","","",
"Lesotho","LSO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","0.5","","","","0.73","","0.89","","0.79","","0.97","","1.24","","1.03","","0.7","","","","","",
"avanzada del dividendo demográfico","LTE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.54","","0.5","","0.725","","0.92","","1.085","","1.2","","1.38","","1.27","","0.88","","","","","",
"Lituania","LTU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","0.51","","0.66","","0.69","","1.03","","1.08","","1.13","","1.59","","1.83","","1.57","","1.16","","","","","",
"Luxemburgo","LUX","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.78","","0.75","","0.76","","1.19","","1.29","","1.4","","1.55","","1.64","","1.52","","1.19","","","","","",
"Letonia","LVA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","","0.55","","0.67","","0.7","","0.94","","1.2","","1.12","","1.48","","1.8","","1.48","","1.16","","","","","",
"Región Administrativa Especial de Macao, China","MAC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isla de San Martín (parte francesa)","MAF","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marruecos","MAR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","0.75","","","0.94","","","0.79","","0.82","","0.87","","1.1","","1.22","","1.29","","1.23","","1.42","","1.38","","0.99","","","","","",
"Mónaco","MCO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64","","1.92","","2.23","","2","","","","","","","",
"República de Moldova","MDA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.21","","1.42","","1.21","","0.8","","","","","",
"Madagascar","MDG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","0.54","","","0.47","","","0.47","","0.76","","1.08","","1.05","","1.15","","1.55","","1.52","","1.49","","1.35","","1.11","","","","","",
"Maldivas","MDV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","1.1","","1.63","","","","","","","",
"Oriente Medio y Norte de África","MEA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.29","","0.29","","0.31","","0.32","","0.45","","0.48","","0.525","","0.83","","0.55","","","","","",
"México","MEX","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","","0.32","","","0.36","","0.61","","0.62","","0.59","","0.74","","0.74","","0.81","","0.86","","1.03","","0.73","","","","","",
"Islas Marshall","MHL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44","","","","","","","",
" Ingreso mediano","MIC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.465","","0.53","","0.52","","0.69","","0.86","","0.95","","1.09","","1.285","","1.205","","0.91","","","","","",
"Macedonia del Norte","MKD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.93","","","0.7","","0.76","","0.85","","1.17","","1.23","","1.15","","1.52","","1.75","","1.49","","1.11","","","","","",
"Malí","MLI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","1.14","","","0.82","","","0.77","","0.7","","0.69","","1.16","","1.22","","1.3","","1.42","","1.41","","1.47","","1.12","","","","","",
"Malta","MLT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77","","0.81","","0.87","","1.18","","1.38","","1.66","","1.63","","1.92","","1.8","","1.36","","","","","",
"Myanmar","MMR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","0.33","","0.36","","0.12","","0.66","","0.43","","0.8","","1.04","","1.14","","0.54","","","","","",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","0.44","","0.29","","0.46","","0.6","","0.61","","0.94","","0.86","","0.895","","0.735","","","","","",
"Montenegro","MNE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1.2","","1.51","","1.27","","1.62","","1.82","","1.6","","1.16","","","","","",
"Mongolia","MNG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","0.38","","0.38","","0.61","","0.88","","1.38","","1.11","","1.29","","1.01","","0.72","","","","","",
"Mariana","MNP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","0.48","","","0.53","","","0.55","","0.56","","0.46","","0.88","","1.15","","1.71","","1.11","","1.58","","1.55","","0.65","","","","","",
"Mauritania","MRT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","0.85","","","","","","0.59","","0.67","","0.63","","0.8","","0.97","","1.49","","1.16","","1.43","","1.53","","1.13","","","","","",
"Mauricio","MUS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","","1.65","","1.65","","1.12","","","","","",
"Malawi","MWI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","0.71","","","0.65","","","0.51","","0.69","","0.66","","0.95","","1.17","","1.78","","1.71","","1.93","","1.78","","1.15","","","","","",
"Malasia","MYS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","0.42","","","0.28","","0.28","","0.35","","0.37","","0.53","","0.53","","0.59","","0.62","","0.68","","0.45","","","","","",
"América del Norte","NAC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.395","","","0.395","","","0.365","","0.525","","0.455","","0.61","","0.735","","0.66","","0.985","","1.145","","0.965","","0.76","","","","","",
"Namibia","NAM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","0.42","","","","","","0.38","","0.47","","0.45","","0.68","","0.87","","0.78","","1.06","","1.24","","1.08","","0.76","","","","","",
"Nueva Caledonia","NCL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Níger","NER","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94","0.92","","","0.79","","","0.76","","0.68","","0.77","","1.02","","1.14","","0.99","","1.07","","1.12","","1.09","","0.88","","","","","",
"Nigeria","NGA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.02","","","0.13","","","0.13","","0.27","","0.2","","0.39","","0.51","","0.59","","0.44","","0.62","","0.56","","0.46","","","","","",
"Nicaragua","NIC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","","","0.62","","","0.47","","0.62","","0.54","","0.69","","0.67","","0.87","","1.09","","1.23","","1.18","","0.91","","","","","",
